TEAM_ID,STANDINGSDATE,TEAM,G,W,L,W_PCT,HOME_RECORD,ROAD_RECORD,RETURNTOPLAY
1610612755,2021-05-26,Philadelphia,72,49,23,0.681,29-7,20-16,""
1610612751,2021-05-26,Brooklyn,72,48,24,0.667,28-8,20-16,""
1610612749,2021-05-26,Milwaukee,72,46,26,0.639,26-10,20-16,""
1610612737,2021-05-26,Atlanta,72,41,31,0.569,25-11,16-20,""
1610612752,2021-05-26,New York,72,41,31,0.569,25-11,16-20,""
1610612748,2021-05-26,Miami,72,40,32,0.556,21-15,19-17,""
1610612738,2021-05-26,Boston,72,36,36,0.5,21-15,15-21,""
1610612754,2021-05-26,Indiana,72,34,38,0.472,13-23,21-15,""
1610612764,2021-05-26,Washington,72,34,38,0.472,19-17,15-21,""
1610612766,2021-05-26,Charlotte,72,33,39,0.458,18-18,15-21,""
1610612741,2021-05-26,Chicago,72,31,41,0.431,15-21,16-20,""
1610612761,2021-05-26,Toronto,72,27,45,0.375,16-20,11-25,""
1610612739,2021-05-26,Cleveland,72,22,50,0.306,13-23,9-27,""
1610612753,2021-05-26,Orlando,72,21,51,0.292,11-25,10-26,""
1610612765,2021-05-26,Detroit,72,20,52,0.278,13-23,7-29,""
